,token_id,rarity_rank,Background_value,Background_count,Hat_value,Hat_count,Mouth_value,Mouth_count,Eyes_value,Eyes_count,Fur_value,Fur_count,Clothes_value,Clothes_count,Earring_value,Earring_count
0,5,3447,Army Green,1243,Bayc Flipped Brim,231.0,Dumbfounded,505,X Eyes,243,Brown,1370,Bayc T Red,140.0,,
1,6,5599,Yellow,1283,S&m Hat,235.0,Bored,2272,Crazy,407,Cream,636,Tweed Suit,141.0,,
2,8,5267,Aquamarine,1266,Beanie,578.0,Bored,2272,Robot,350,Zombie,302,,,Gold Stud,439.0
3,9,2389,Purple,1291,Seaman's Hat,420.0,Small Grin,272,Sleepy,751,Brown,1370,Stunt Jacket,178.0,Silver Stud,823.0
4,10,3735,Aquamarine,1266,Bayc Hat Red,119.0,Bored,2272,Eyepatch,333,Dmt,215,Navy Striped Tee,334.0,,
5,11,3943,Gray,1170,Laurel Wreath,72.0,Bored Unshaven Cigarette,438,Bloodshot,846,Dark Brown,1352,Smoking Jacket,221.0,,
6,13,6803,Yellow,1283,Police Motorcycle Helmet,130.0,Bored,2272,Coins,479,Black,1229,Bone Tee,230.0,,
7,15,1510,Gray,1170,Girl's Hair Pink,105.0,Phoneme L,241,Zombie,308,Gray,496,Black T,334.0,,
8,16,4006,Purple,1291,Horns,252.0,Dumbfounded,505,Bored,1714,Dark Brown,1352,Bone Necklace,203.0,Silver Hoop,882.0
9,17,2512,New Punk Blue,1232,Commie Hat,304.0,Bored Unshaven,1551,Closed,710,Tan,626,Bayc T Black,215.0,Gold Stud,439.0
10,18,4511,Purple,1291,,,Bored Cigarette,710,Cyborg,108,Robot,265,Vietnam Jacket,224.0,,
11,19,5877,Army Green,1243,Bayc Hat Black,228.0,Rage,266,Eyepatch,333,Tan,626,,,,
12,20,3956,Blue,1242,Beanie,578.0,Phoneme Vuh,333,3d,487,Gray,496,Bandolier,163.0,,
13,22,1499,New Punk Blue,1232,S&m Hat,235.0,Bored Unshaven,1551,Sleepy,751,Zombie,302,Tuxedo Tee,235.0,Gold Stud,439.0
14,23,5526,Aquamarine,1266,Beanie,578.0,Bored Pipe,132,Bored,1714,Trippy,77,,,,
15,25,9202,Blue,1242,,,Bored Cigarette,710,Closed,710,Brown,1370,Guayabera,232.0,,
16,27,8477,Orange,1273,Army Hat,294.0,Bored,2272,Bored,1714,Gray,496,Sleeveless T,252.0,,
17,28,3523,Purple,1291,Bayc Flipped Brim,231.0,Bored Cigarette,710,X Eyes,243,Tan,626,,,Silver Stud,823.0
18,29,9797,Blue,1242,,,Bored Unshaven,1551,Robot,350,Tan,626,,,,
19,31,546,Yellow,1283,Party Hat 2,107.0,Bored Unshaven,1551,Eyepatch,333,Dmt,215,Black Holes T,205.0,Silver Hoop,882.0
20,32,7007,Purple,1291,Halo,324.0,Bored,2272,Sunglasses,352,Dark Brown,1352,Hip Hop,128.0,,
21,33,2212,Purple,1291,Girl's Hair Pink,105.0,Small Grin,272,Closed,710,Red,474,Vietnam Jacket,224.0,,
22,34,7458,Orange,1273,Bayc Hat Red,119.0,Bored,2272,Sleepy,751,Black,1229,Sleeveless T,252.0,,
23,35,5499,Blue,1242,,,Jovial,296,3d,487,Death Bot,175,Navy Striped Tee,334.0,,
24,36,9888,Purple,1291,,,Bored Unshaven,1551,Bored,1714,Dark Brown,1352,Sailor Shirt,284.0,,
25,37,6048,Blue,1242,Bowler,262.0,Bored,2272,Bored,1714,Blue,490,Striped Tee,412.0,Silver Hoop,882.0
26,38,4391,Blue,1242,,,Bored Cigarette,710,Closed,710,Black,1229,Navy Striped Tee,334.0,Cross,149.0
27,39,5275,Aquamarine,1266,Fez,377.0,Dumbfounded,505,Bloodshot,846,Gray,496,Leather Jacket,206.0,,
28,40,7706,New Punk Blue,1232,Spinner Hat,181.0,Bored,2272,Sad,551,Dark Brown,1352,Biker Vest,253.0,,
29,41,5591,Purple,1291,Sea Captain's Hat,304.0,Phoneme  ooo,255,Sad,551,Dark Brown,1352,Navy Striped Tee,334.0,,
30,42,1607,Yellow,1283,Baby's Bonnet,158.0,Bored Pizza,50,Coins,479,Dark Brown,1352,Biker Vest,253.0,,
31,43,6323,Orange,1273,,,Grin,713,Coins,479,Brown,1370,Wool Turtleneck,240.0,Silver Stud,823.0
32,44,817,New Punk Blue,1232,Baby's Bonnet,158.0,Bored Unshaven,1551,Coins,479,Gray,496,Tweed Suit,141.0,Gold Stud,439.0
33,45,2946,Orange,1273,,,Phoneme Wah,163,Eyepatch,333,Black,1229,Lumberjack Shirt,213.0,Silver Stud,823.0
34,48,7935,Blue,1242,,,Bored Unshaven,1551,Scumbag,233,Red,474,Prison Jumpsuit,235.0,,
